Instance,Size,Best known,Algorithm,Runs,Feasible runs,Best cost,Mean cost,Median cost,Std dev,Worst cost,Best gap %,Mean gap %
B-n50-k7,50,741,ga,10,10,741.00,741.00,741.00,0.00,741.00,0.00,0.00
B-n50-k7,50,741,ortools,10,10,741.00,741.00,741.00,0.00,741.00,0.00,0.00
B-n50-k7,50,741,pso,10,10,741.00,741.00,741.00,0.00,741.00,0.00,0.00
B-n50-k7,50,741,pyvrp,10,10,741.00,741.00,741.00,0.00,741.00,0.00,0.00
B-n50-k7,50,741,qiea,10,10,741.00,741.00,741.00,0.00,741.00,0.00,0.00
B-n50-k7,50,741,qpso,10,10,741.00,741.00,741.00,0.00,741.00,0.00,0.00
B-n50-k7,50,741,random,10,10,741.00,741.00,741.00,0.00,741.00,0.00,0.00
B-n50-k7,50,741,sa,10,10,741.00,741.00,741.00,0.00,741.00,0.00,0.00
A-n54-k7,54,1167,aco,10,10,1167.00,1167.70,1167.00,1.64,1172.00,0.00,0.06
A-n54-k7,54,1167,ga,10,10,1167.00,1167.00,1167.00,0.00,1167.00,0.00,0.00
A-n54-k7,54,1167,ortools,10,10,1212.00,1213.40,1214.00,0.84,1214.00,3.86,3.98
A-n54-k7,54,1167,pso,10,10,1167.00,1167.70,1167.00,1.34,1171.00,0.00,0.06
A-n54-k7,54,1167,pyvrp,10,10,1167.00,1167.50,1167.00,1.58,1172.00,0.00,0.04
A-n54-k7,54,1167,qiea,10,10,1167.00,1167.00,1167.00,0.00,1167.00,0.00,0.00
A-n54-k7,54,1167,qpso,10,10,1167.00,1167.00,1167.00,0.00,1167.00,0.00,0.00
A-n54-k7,54,1167,random,10,10,1167.00,1168.10,1167.00,1.79,1171.00,0.00,0.09
A-n54-k7,54,1167,sa,10,10,1167.00,1167.60,1167.00,1.35,1171.00,0.00,0.05
A-n65-k9,65,1174,aco,10,10,1177.00,1177.90,1178.00,0.32,1178.00,0.26,0.33
A-n65-k9,65,1174,ga,10,10,1174.00,1176.80,1177.00,1.03,1178.00,0.00,0.24
A-n65-k9,65,1174,ortools,10,10,1218.00,1218.00,1218.00,0.00,1218.00,3.75,3.75
A-n65-k9,65,1174,pso,10,10,1174.00,1179.70,1180.50,2.58,1183.00,0.00,0.49
A-n65-k9,65,1174,pyvrp,10,10,1174.00,1176.00,1177.00,1.76,1178.00,0.00,0.17
A-n65-k9,65,1174,qiea,10,10,1177.00,1177.80,1178.00,0.42,1178.00,0.26,0.32
