Variant,What changed,Instances,Runs,Mean gap %,Change vs full method,Runs at best known,Mean seconds
qpso,full method: quantum-behaved swarm with local search,4,8,3.34,—,0/8,3.237
random,control: random restart with the same local search,4,8,3.22,-0.12,0/8,3.065
